"Group.date","slava_ukraine"
2014-01-01,12
2014-01-02,15
2014-01-03,14
2014-01-04,8
2014-01-05,6
2014-01-06,8
2014-01-07,3
2014-01-08,3
2014-01-09,8
2014-01-10,21
2014-01-11,12
2014-01-12,24
2014-01-13,11
2014-01-14,8
2014-01-15,8
2014-01-16,10
2014-01-17,4
2014-01-18,14
2014-01-19,71
2014-01-20,42
2014-01-21,40
2014-01-22,122
2014-01-23,134
2014-01-24,124
2014-01-25,151
2014-01-26,123
2014-01-27,158
2014-01-28,81
2014-01-29,45
2014-01-30,29
2014-01-31,32
2014-02-01,18
2014-02-02,38
2014-02-03,16
2014-02-04,19
2014-02-05,15
2014-02-06,18
2014-02-07,27
2014-02-08,63
2014-02-09,56
2014-02-10,39
2014-02-11,23
2014-02-12,26
2014-02-13,16
2014-02-14,11
2014-02-15,35
2014-02-16,26
2014-02-17,18
2014-02-18,316
2014-02-19,238
2014-02-20,337
2014-02-21,391
2014-02-22,809
2014-02-23,343
2014-02-24,267
2014-02-25,243
2014-02-26,421
2014-02-27,444
2014-02-28,196
2014-03-01,322
2014-03-02,367
2014-03-03,570
2014-03-04,288
2014-03-05,266
2014-03-06,148
2014-03-07,158
2014-03-08,168
2014-03-09,175
2014-03-10,231
2014-03-11,172
2014-03-12,178
2014-03-13,297
2014-03-14,166
2014-03-15,786
2014-03-16,249
2014-03-17,205
2014-03-18,207
2014-03-19,166
2014-03-20,164
2014-03-21,181
2014-03-22,136
2014-03-23,132
2014-03-24,104
2014-03-25,119
2014-03-26,96
2014-03-27,170
2014-03-28,112
2014-03-29,101
2014-03-30,186
2014-03-31,111
2014-04-01,60
2014-04-02,101
2014-04-03,136
2014-04-04,95
2014-04-05,81
2014-04-06,106
2014-04-07,161
2014-04-08,145
2014-04-09,92
2014-04-10,109
2014-04-11,163
2014-04-12,132
2014-04-13,188
2014-04-14,164
2014-04-15,298
2014-04-16,195
2014-04-17,270
2014-04-18,105
2014-04-19,151
2014-04-20,162
2014-04-21,119
2014-04-22,104
2014-04-23,145
2014-04-24,157
2014-04-25,112
2014-04-26,213
2014-04-27,179
2014-04-28,206
2014-04-29,111
2014-04-30,111
2014-05-01,200
2014-05-02,706
2014-05-03,446
2014-05-04,438
2014-05-05,266
2014-05-06,223
2014-05-07,196
2014-05-08,264
2014-05-09,234
2014-05-10,410
2014-05-11,368
2014-05-12,159
2014-05-13,127
2014-05-14,157
2014-05-15,161
2014-05-16,146
2014-05-17,157
2014-05-18,178
2014-05-19,114
2014-05-20,124
2014-05-21,111
2014-05-22,121
2014-05-23,138
2014-05-24,176
2014-05-25,496
2014-05-26,318
2014-05-27,182
2014-05-28,124
2014-05-29,188
2014-05-30,126
2014-05-31,184
2014-06-01,196
2014-06-02,133
2014-06-03,218
2014-06-04,125
2014-06-05,240
2014-06-06,185
2014-06-07,377
2014-06-08,182
2014-06-09,145
2014-06-10,107
2014-06-11,111
2014-06-12,169
2014-06-13,202
2014-06-14,213
2014-06-15,276
2014-06-16,157
2014-06-17,211
2014-06-18,144
2014-06-19,215
2014-06-20,165
2014-06-21,215
2014-06-22,336
2014-06-23,441
2014-06-24,221
2014-06-25,201
2014-06-26,218
2014-06-27,311
2014-06-28,179
2014-06-29,144
2014-06-30,362
2014-07-01,339
2014-07-02,203
2014-07-03,314
2014-07-04,214
