"Group.date","slava_ukraini"
2014-01-01,59
2014-01-02,28
2014-01-03,14
2014-01-04,22
2014-01-05,22
2014-01-06,11
2014-01-07,16
2014-01-08,13
2014-01-09,13
2014-01-10,114
2014-01-11,108
2014-01-12,144
2014-01-13,119
2014-01-14,27
2014-01-15,18
2014-01-16,21
2014-01-17,29
2014-01-18,27
2014-01-19,149
2014-01-20,108
2014-01-21,127
2014-01-22,270
2014-01-23,299
2014-01-24,252
2014-01-25,252
2014-01-26,250
2014-01-27,280
2014-01-28,144
2014-01-29,82
2014-01-30,77
2014-01-31,56
2014-02-01,47
2014-02-02,76
2014-02-03,40
2014-02-04,33
2014-02-05,34
2014-02-06,38
2014-02-07,51
2014-02-08,55
2014-02-09,64
2014-02-10,34
2014-02-11,20
2014-02-12,20
2014-02-13,32
2014-02-14,18
2014-02-15,24
2014-02-16,82
2014-02-17,72
2014-02-18,588
2014-02-19,491
2014-02-20,745
2014-02-21,902
2014-02-22,2009
2014-02-23,633
2014-02-24,357
2014-02-25,202
2014-02-26,392
2014-02-27,379
2014-02-28,176
2014-03-01,359
2014-03-02,411
2014-03-03,432
2014-03-04,257
2014-03-05,304
2014-03-06,165
2014-03-07,188
2014-03-08,163
2014-03-09,196
2014-03-10,141
2014-03-11,129
2014-03-12,216
2014-03-13,307
2014-03-14,141
2014-03-15,291
2014-03-16,243
2014-03-17,161
2014-03-18,171
2014-03-19,133
2014-03-20,135
2014-03-21,133
2014-03-22,122
2014-03-23,113
2014-03-24,103
2014-03-25,124
2014-03-26,111
2014-03-27,91
2014-03-28,81
2014-03-29,106
2014-03-30,215
2014-03-31,105
2014-04-01,51
2014-04-02,68
2014-04-03,164
2014-04-04,78
2014-04-05,94
2014-04-06,133
2014-04-07,127
2014-04-08,106
2014-04-09,115
2014-04-10,138
2014-04-11,108
2014-04-12,226
2014-04-13,312
2014-04-14,137
2014-04-15,225
2014-04-16,188
2014-04-17,199
2014-04-18,102
2014-04-19,170
2014-04-20,155
2014-04-21,78
2014-04-22,76
2014-04-23,117
2014-04-24,129
2014-04-25,86
2014-04-26,276
2014-04-27,152
2014-04-28,138
2014-04-29,84
2014-04-30,90
2014-05-01,127
2014-05-02,438
2014-05-03,229
2014-05-04,238
2014-05-05,146
2014-05-06,147
2014-05-07,156
2014-05-08,156
2014-05-09,230
2014-05-10,236
2014-05-11,198
2014-05-12,96
2014-05-13,114
2014-05-14,109
2014-05-15,189
2014-05-16,104
2014-05-17,134
2014-05-18,135
2014-05-19,84
2014-05-20,103
2014-05-21,78
2014-05-22,111
2014-05-23,119
2014-05-24,150
2014-05-25,435
2014-05-26,205
2014-05-27,128
2014-05-28,123
2014-05-29,131
2014-05-30,152
2014-05-31,236
2014-06-01,155
2014-06-02,109
2014-06-03,142
2014-06-04,122
2014-06-05,109
2014-06-06,90
2014-06-07,392
2014-06-08,144
2014-06-09,98
2014-06-10,69
2014-06-11,83
2014-06-12,83
2014-06-13,111
2014-06-14,148
2014-06-15,172
2014-06-16,102
2014-06-17,204
2014-06-18,163
2014-06-19,122
2014-06-20,81
2014-06-21,136
2014-06-22,203
2014-06-23,77
2014-06-24,87
2014-06-25,98
2014-06-26,157
2014-06-27,299
2014-06-28,183
2014-06-29,111
2014-06-30,288
2014-07-01,205
2014-07-02,108
2014-07-03,154
2014-07-04,110
2014-07-05,345
2014-07-06,173
2014-07-07,164
2014-07-08,101
2014-07-09,106
2014-07-10,113
2014-07-11,89
2014-07-12,87
2014-07-13,154
2014-07-14,112
2014-07-15,119
2014-07-16,84
2014-07-17,120
2014-07-18,144
2014-07-19,119
2014-07-20,142
2014-07-21,172
2014-07-22,256
2014-07-23,265
2014-07-24,206
2014-07-25,134
2014-07-26,157
2014-07-27,171
2014-07-28,149
2014-07-29,146
2014-07-30,131
2014-07-31,124
2014-08-01,105
2014-08-02,121
2014-08-03,116
2014-08-04,87
2014-08-05,95
2014-08-06,111
2014-08-07,116
2014-08-08,86
2014-08-09,89
2014-08-10,110
2014-08-11,112
2014-08-12,94
2014-08-13,126
2014-08-14,97
2014-08-15,143
2014-08-16,156
2014-08-17,123
2014-08-18,113
2014-08-19,111
2014-08-20,196
2014-08-21,178
2014-08-22,295
2014-08-23,735
2014-08-24,2456
2014-08-25,326
2014-08-26,216
2014-08-27,324
2014-08-28,365
2014-08-29,255
2014-08-30,195
2014-08-31,186
2014-09-01,207
2014-09-02,156
2014-09-03,178
2014-09-04,163
2014-09-05,156
2014-09-06,136
2014-09-07,158
2014-09-08,203
2014-09-09,87
2014-09-10,114
2014-09-11,115
2014-09-12,138
2014-09-13,137
2014-09-14,129
2014-09-15,100
2014-09-16,177
2014-09-17,134
2014-09-18,157
2014-09-19,114
2014-09-20,94
2014-09-21,149
2014-09-22,81
