"id","city","company","name","type","prod"
1,"Игарка","АО ""Ванкорнефть""","Ванкорское месторождение","нефтегазовое","479.10 млн. тонн"
2,"Тазовский","ПАО ""НК ""РОСНЕФТЬ""","Русское месторождение","газонефтяное","422.00 млн. тонн"
3,"Лянтор","ОАО ""Сургутнефтегаз""","Лянторское месторождение","нефтегазоконденсатное","380.00 млн. тонн"
4,"Тобольск","ООО «РН «Уватнефтегаз»","Урненское месторождение","нефтяное","360.00 млн. тонн"
5,"Усинск","ООО «ЛУКОЙЛ-Коми»","Усинское месторождение","нефтяное","350.00 млн. тонн"
6,"Ханты-Мансийск","АО «РН-Няганьнефтегаз»","Каменное месторождение (западная часть)","нефтегазовое","300.00 млн. тонн"
7,"Киренск","ПАО ""НК ""РОСНЕФТЬ""","Верхнечонское месторождение","нефтегазоконденсатное","276.00 млн. тонн"
8,"Нижневартовск","АО «Томскнефть» ВНК","Советское месторождение","нефтяное","232.80 млн. тонн"
9,"Ханты-Мансийск","ООО «Газпромнефть-Хантос»","Приобское месторождение (южная лицензионная территория (ЮЛТ))","нефтяное","220.00 млн. тонн"
10,"Сургут","ОАО ""Сургутнефтегаз""","Западно-Сургутское месторождение","нефтяное","215.00 млн. тонн"
11,"Губкинский","ПАО ""НК ""РОСНЕФТЬ""","Северо-Комсомольское месторождение","нефтегазоконденсатное","205.00 млн. тонн"
12,"Ханты-Мансийск","ООО «РН-Юганскнефтегаз»","Приразломное месторождение (Роснефть)","нефтяное","200.00 млн. тонн"
13,"Сургут","ОАО ""Сургутнефтегаз""","Фёдоровское месторождение","нефтегазоконденсатное","189.90 млн. тонн"
14,"Мирный (Республика Саха (Якутия))","ПАО ""НК ""РОСНЕФТЬ""","Среднеботуобинское месторождение","нефтегазоконденсатное","166.00 млн. тонн"
15,"Тюмень","ОАО ""Сургутнефтегаз""","Рогожниковское месторождение","нефтяное","150.00 млн. тонн"
16,"Ярега","ООО «ЛУКОЙЛ-Коми»","Ярегское месторождение","нефтяное","131.80 млн. тонн"
17,NA,"Собственник/Инвестор","Кумкольское месторождение","газонефтяное","130.00 млн. тонн"
