"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
1,"Игарка","АО ""Ванкорнефть""","Ванкорское месторождение","oil-gas","479.10","нефтегазовое",67.757839,83.553772,"/oil-gas-field/vankorskoe","Vankorskoe"
2,"Тазовский","ПАО ""НК ""РОСНЕФТЬ""","Русское месторождение","gas-oil","422.00","газонефтяное",66.673514,80.539055,"/oil-gas-field/russkoe","Russkoe"
3,"Лянтор","ОАО ""Сургутнефтегаз""","Лянторское месторождение","oil-gas-condensate","380.00","нефтегазоконденсатное",61.701389,72.084167,"/oil-gas-field/lyantorskoe","Lyantorskoe"
4,"Тобольск","ООО «РН «Уватнефтегаз»","Урненское месторождение","oil","360.00","нефтяное",58.247954,73.55351,"/oil-gas-field/urnenskoye","Urnenskoye"
5,"Усинск","ООО «ЛУКОЙЛ-Коми»","Усинское месторождение","oil","350.00","нефтяное",66.16939,57.360992,"/oil-gas-field/usinskoe","Usinskoe"
6,"Ханты-Мансийск","АО «РН-Няганьнефтегаз»","Каменное месторождение (западная часть)","oil-gas","300.00","нефтегазовое",61.386856,67.185516,"/oil-gas-field/kamennoe-west","Kamennoe West"
7,"Киренск","ПАО ""НК ""РОСНЕФТЬ""","Верхнечонское месторождение","oil-gas-condensate","276.00","нефтегазоконденсатное",60.166667,109.333333,"/oil-gas-field/verkhnechonskoye","Verkhnechonskoye"
8,"Нижневартовск","АО «Томскнефть» ВНК","Советское месторождение","oil","232.80","нефтяное",60.743559,77.238007,"/oil-gas-field/sovetskoe","Sovetskoe"
9,"Ханты-Мансийск","ООО «Газпромнефть-Хантос»","Приобское месторождение (южная лицензионная территория (ЮЛТ))","oil","220.00","нефтяное",60.764526,69.8909,"/oil-gas-field/priobskoe-south","Priobskoe South"
10,"Сургут","ОАО ""Сургутнефтегаз""","Западно-Сургутское месторождение","oil","215.00","нефтяное",61.33321,73.153153,"/oil-gas-field/zapadno-surgutskoe","Zapadno Surgutskoe"
11,"Губкинский","ПАО ""НК ""РОСНЕФТЬ""","Северо-Комсомольское месторождение","oil-gas-condensate","205.00","нефтегазоконденсатное",64.704387,75.410843,"/oil-gas-field/north-komsomolskoe","North Komsomolskoe"
12,"Ханты-Мансийск","ООО «РН-Юганскнефтегаз»","Приразломное месторождение (Роснефть)","oil","200.00","нефтяное",60.907738,70.791779,"/oil-gas-field/prirazlomnoye-rosneft","Prirazlomnoye Rosneft"
13,"Сургут","ОАО ""Сургутнефтегаз""","Фёдоровское месторождение","oil-gas-condensate","189.90","нефтегазоконденсатное",61.702895,73.869324,"/oil-gas-field/fyodorovskoe","Fyodorovskoe"
14,"Мирный (Республика Саха (Якутия))","ПАО ""НК ""РОСНЕФТЬ""","Среднеботуобинское месторождение","oil-gas-condensate","166.00","нефтегазоконденсатное",61.783351,113.14476,"/oil-gas-field/srednebotuobinskoe","Srednebotuobinskoe"
