OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,id,city,company,name,type,prod,type_ru,lat,long,out,name_en,AREA,PERIMETER,CODE,NAME_1,TYPE_1,REG,AREA_1,PERIMETER_1,GLG
1,1,1,1,1,1,Èãàðêà,ÀÎ ""Âàíêîðíåôòü"",Âàíêîðñêîå ìåñòîðîæäåíèå,oil-gas,479.100000000000023,íåôòåãàçîâîå,67.757839000000004,83.553771999999995,/oil-gas-field/vankorskoe,Vankorskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
2,1,2,1,2,2,Òàçîâñêèé,ÏÀÎ ""ÍÊ ""ÐÎÑÍÅÔÒÜ"",Ðóññêîå ìåñòîðîæäåíèå,gas-oil,422.000000000000000,ãàçîíåôòÿíîå,66.673513999999997,80.539055000000005,/oil-gas-field/russkoe,Russkoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
3,1,3,1,3,3,Ëÿíòîð,ÎÀÎ ""Ñóðãóòíåôòåãàç"",Ëÿíòîðñêîå ìåñòîðîæäåíèå,oil-gas-condensate,380.000000000000000,íåôòåãàçîêîíäåíñàòíîå,61.701388999999999,72.084166999999994,/oil-gas-field/lyantorskoe,Lyantorskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
4,1,4,1,4,4,Òîáîëüñê,ÎÎÎ «ÐÍ «Óâàòíåôòåãàç»,Óðíåíñêîå ìåñòîðîæäåíèå,oil,360.000000000000000,íåôòÿíîå,58.247954000000000,73.553510000000003,/oil-gas-field/urnenskoye,Urnenskoye,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,274348615164.579986572265625,7957469.074000000022352,QT
5,1,5,1,5,5,Óñèíñê,ÎÎÎ «ËÓÊÎÉË-Êîìè»,Óñèíñêîå ìåñòîðîæäåíèå,oil,350.000000000000000,íåôòÿíîå,66.169390000000007,57.360992000000003,/oil-gas-field/usinskoe,Usinskoe,450939701379.052001953125000,3262746.402999999932945,1008,Timan-Pechora Basin,p,1,34088606601.536998748779297,2475141.949000000022352,J
6,1,6,1,6,6,Õàíòû-Ìàíñèéñê,ÀÎ «ÐÍ-Íÿãàíüíåôòåãàç»,Êàìåííîå ìåñòîðîæäåíèå (çàïàäíàÿ ÷àñòü),oil-gas,300.000000000000000,íåôòåãàçîâîå,61.386856000000002,67.185516000000007,/oil-gas-field/kamennoe-west,Kamennoe West,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
7,1,7,1,7,7,Êèðåíñê,ÏÀÎ ""ÍÊ ""ÐÎÑÍÅÔÒÜ"",Âåðõíå÷îíñêîå ìåñòîðîæäåíèå,oil-gas-condensate,276.000000000000000,íåôòåãàçîêîíäåíñàòíîå,60.166666999999997,109.333332999999996,/oil-gas-field/verkhnechonskoye,Verkhnechonskoye,360115965584.392028808593750,3295676.089999999850988,1210,Nepa-Botuoba Arch,p,1,173720350176.319000244140625,12617611.766000000759959,Cm
8,1,8,1,8,8,Íèæíåâàðòîâñê,ÀÎ «Òîìñêíåôòü» ÂÍÊ,Ñîâåòñêîå ìåñòîðîæäåíèå,oil,232.800000000000011,íåôòÿíîå,60.743558999999998,77.238006999999996,/oil-gas-field/sovetskoe,Sovetskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
9,1,9,1,9,9,Õàíòû-Ìàíñèéñê,ÎÎÎ «Ãàçïðîìíåôòü-Õàíòîñ»,Ïðèîáñêîå ìåñòîðîæäåíèå (þæíàÿ ëèöåíçèîííàÿ òåððèòîðèÿ (ÞËÒ)),oil,220.000000000000000,íåôòÿíîå,60.764525999999996,69.890900000000002,/oil-gas-field/priobskoe-south,Priobskoe South,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
10,1,10,1,10,10,Ñóðãóò,ÎÀÎ ""Ñóðãóòíåôòåãàç"",Çàïàäíî-Ñóðãóòñêîå ìåñòîðîæäåíèå,oil,215.000000000000000,íåôòÿíîå,61.333210000000001,73.153153000000003,/oil-gas-field/zapadno-surgutskoe,Zapadno Surgutskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
